Food_Name,Food_Text,Energy_kcal,Protein_g,Fat_g,Sugar_g,Sodium_mg,Label_Kesehatan
Fried Chicken,High fat salty unhealthy,262.0,"22,8","12,1","9,6",953,Tidak Sehat
Grilled Chicken Breast,High protein low fat healthy,147.0,"11,9","7,1","22,1",765,Sehat
Ice Cream,High sugar sweet dessert,296.0,"31,5","14,6","25,2",656,Tidak Sehat
Ice Cream,High sugar sweet dessert,241.0,17,"25,9",35,37,Tidak Sehat
Apple Fresh,Fruit low calorie sweet healthy,272.0,"34,4","0,3",15,361,Sehat
Grilled Chicken Breast,High protein low fat healthy,57.0,"1,5","11,6","24,5",129,Sehat
Sweet Soda Drink,Sweet drink high sugar,294.0,"32,7","10,2","6,4",585,Tidak Sehat
Apple Fresh,Fruit low calorie sweet healthy,63.0,"8,5","6,9","9,9",611,Sehat
Boiled Egg,High protein healthy,106.0,"34,3","22,2","23,8",613,Sehat
Fried Rice,High carbohydrate oily salty,156.0,"17,6","25,5","21,7",276,Tidak Sehat
Grilled Chicken Breast,High protein low fat healthy,246.0,"29,4",8,"31,1",170,Sehat
Boiled Egg,High protein healthy,200.0,"33,4","15,6","13,9",726,Sehat
Sweet Soda Drink,Sweet drink high sugar,83.0,"24,7","16,6",22,568,Tidak Sehat
Fried Rice,High carbohydrate oily salty,432.0,"16,2","1,8","6,9",260,Tidak Sehat
Oatmeal Plain,High fiber healthy carbohydrate,199.0,"12,5","17,1","13,6",651,Sehat
Grilled Chicken Breast,High protein low fat healthy,142.0,"5,8","14,3","21,5",458,Sehat
Orange Fresh,Fruit vitamin sweet healthy,69.0,"21,1",19,22,856,Sehat
Steamed Broccoli,Low calorie high fiber healthy,319.0,23,"3,4","7,3",289,Sehat
Grilled Chicken Breast,High protein low fat healthy,395.0,"33,2","21,6","6,4",724,Sehat
Ice Cream,High sugar sweet dessert,432.0,"31,1","8,5","11,6",751,Tidak Sehat
Ice Cream,High sugar sweet dessert,402.0,"18,5","29,7","20,1",197,Tidak Sehat
French Fries,High fat salty snack,220.0,"34,1","13,3","4,8",42,Tidak Sehat
Steamed Broccoli,Low calorie high fiber healthy,164.0,"15,7","18,4","28,6",185,Sehat
Sweet Soda Drink,Sweet drink high sugar,287.0,"18,9","3,4","20,2",62,Tidak Sehat
Fried Rice,High carbohydrate oily salty,295.0,"9,6","22,8","14,4",67,Tidak Sehat
Grilled Chicken Breast,High protein low fat healthy,164.0,"24,8","4,8","12,9",326,Sehat
Chocolate Cake,High sugar sweet dessert,236.0,"23,5","26,4",12,394,Tidak Sehat
Orange Fresh,Fruit vitamin sweet healthy,281.0,"18,7","1,1",21,493,Sehat
Salmon Grilled,High protein healthy fat omega,384.0,"13,7","11,6","10,3",460,Sehat
Salmon Grilled,High protein healthy fat omega,267.0,1,"21,6","29,2",408,Sehat
Chocolate Cake,High sugar sweet dessert,58.0,3,"1,8","31,1",968,Tidak Sehat
Salmon Grilled,High protein healthy fat omega,151.0,"1,3","28,5","7,5",429,Sehat
Orange Fresh,Fruit vitamin sweet healthy,184.0,"13,2","29,7","14,3",836,Sehat
Fried Chicken,High fat salty unhealthy,287.0,"32,9","16,4","9,7",359,Tidak Sehat
Oatmeal Plain,High fiber healthy carbohydrate,109.0,"31,7","26,7","2,6",97,Sehat
Oatmeal Plain,High fiber healthy carbohydrate,219.0,"20,5","17,3","1,6",324,Sehat
Fried Rice,High carbohydrate oily salty,147.0,"30,1","17,2","31,6",871,Tidak Sehat
Boiled Egg,High protein healthy,384.0,"6,5",,"30,9",445,Sehat
Grilled Chicken Breast,High protein low fat healthy,99.0,"12,6","5,6","19,4",707,Sehat
Orange Fresh,Fruit vitamin sweet healthy,373.0,"20,4","19,3","33,7",758,Sehat
French Fries,High fat salty snack,407.0,31,"2,4","26,6",533,Tidak Sehat
Fried Chicken,High fat salty unhealthy,328.0,29,2,"22,7",923,Tidak Sehat
Apple Fresh,Fruit low calorie sweet healthy,359.0,"23,4","19,1","11,3",932,Sehat
Steamed Broccoli,Low calorie high fiber healthy,176.0,21,"16,9","26,1",186,Sehat
Spinach Soup,Vegetable low calorie healthy,260.0,"15,7","12,9","26,6",844,Sehat
Instant Noodle,High sodium salty carbohydrate,337.0,"0,7",23,"15,5",657,Tidak Sehat
Sweet Soda Drink,Sweet drink high sugar,,"8,5","14,9","27,7",471,Tidak Sehat
Ice Cream,High sugar sweet dessert,144.0,"2,6","25,6","7,2",829,Tidak Sehat
Salmon Grilled,High protein healthy fat omega,350.0,"18,1","28,3","1,5",571,Sehat
