Food_Name;Food_Text;Energy_kcal;Protein_g;Fat_g;Sugar_g;Sodium_mg;Carbohydrate_g;Label_Kesehatan
Ikan sunu;High protein;199;34,1;3,8;0;377;7,1;Cukup Sehat
Soto pekalongan;Moderate nutrients;94;3;6,8;0;0;5,1;Sehat
Marie duo;Moderate nutrients;15;1;3,5;5;85;14;Sehat
Kaparende;Moderate nutrients;38;2,4;2;0;170;2,6;Sehat
Kacang lebui;High calorie, high carb, high fiber;346;16,5;1,5;0;17;66,6;Sehat
The coffe bean vanilla ice blended drink;High calorie, high sugar, high carb;410;15;;63;0;70;Kurang Sehat
Dairy queen banana split;High calorie, high sugar, high carb;520;9;14;72;0;92;Kurang Sehat
Gembili;High carb;131;1,1;0,2;0;10;31,3;Sehat
Baked lotus paste mooncake;High fat;223;4,05;13,79;0;0;20,5;Kurang Sehat
Cumi-cumi;High protein;75;16,1;0,7;0;37;0,1;Sehat
Kunyit;Moderate nutrients;69;2;2,7;0;6;9,1;Sehat
The coffe bean black forest ice blended drink;High calorie, high sugar, high carb;490;12;10;76;0;89;Kurang Sehat
Coklat silverqueen almond;High fat, high sugar;170;4;11;11;0;14;Kurang Sehat
Daun gedi besar;Moderate nutrients;58;2,9;0,7;0;30;10;Sehat
Kopi hitam tanpa gula;Low calorie;2;0,28;0,05;0;0;0,09;Sehat
Tumis keumamah;High fat;300;14,5;20;0;0;15,5;Kurang Sehat
Regal Biskuit Marie;Moderate nutrients;70;1;2;0;45;12;Sehat
Teh hijau daun kering;High calorie, high protein, high carb;300;28,3;4,8;0;60;53,6;Cukup Sehat
Susu ultra milk rasa coklat;Moderate nutrients;160;6;4;0;45;24;Sehat
Frisian flag putih;High sugar;140;1;4;19;0;23;Kurang Sehat
Sedaap Kecap Manis;High sugar;70;1;0;13;290;16;Kurang Sehat
Outback steackhouse prime rib;High calorie, high fat;700;46;57;0;0;0;Kurang Sehat
Es krim Diamond vanilla;Moderate nutrients;110;2;6;9;0;12;Sehat
Genjer;Moderate nutrients;35;1,7;0,2;0;64;7,7;Sehat
